"DataVenda","Status","EmailUsuario","Produto","","","",""
"1/1/2020","Faturado","batman@siteware.com.br","Notebook Dell","","","",""
"1/1/2020","Faturado","batman@siteware.com.br","Teclado Logitech","","","",""
"1/1/2020","Cancelado","batman@siteware.com.br","Monitor Acer","","","",""
"1/1/2020","Cancelado","homemAranha@siteware.com.br","Samsung Galaxy S20","","","",""
"1/1/2020","Faturado","homemAranha@siteware.com.br","Moto G8","","","",""
"1/1/2020","Cancelado","homemAranha@siteware.com.br","Xbox Series X","","","",""
"1/1/2020","Cancelado","homemAranha@siteware.com.br","PS5","","","",""
"1/1/2020","Faturado","homemAranha@siteware.com.br","Nintendo Switch","","","",""
"1/1/2020","Cancelado","homemAranha@siteware.com.br","PS4","","","",""
"1/1/2020","Faturado","hulk@siteware.com.br","Notebook Dell","","","",""
"1/1/2020","Faturado","batman@siteware.com.br","Teclado Logitech","","","",""
"1/1/2020","Faturado","capitaoamerica@siteware.com.br","Mouse","","","",""
"1/1/2020","Cancelado","aquaman@siteware.com.br","Monitor Acer","","","",""
"1/1/2020","Cancelado","flash@siteware.com.br","Iphone 12","","","",""
"1/1/2020","Faturado","thor@siteware.com.br","Samsung Galaxy S20","","","",""
"1/1/2020","Faturado","ironman@siteware.com.br","Moto G8","","","",""
"1/1/2020","Faturado","goku@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"1/1/2020","Cancelado","estelar@siteware.com.br","Xbox Series X","","","",""
"1/1/2020","Faturado","jeangrey@siteware.com.br","PS5","","","",""
"2/1/2020","Faturado","homemAranha@siteware.com.br","Notebook Dell","","","",""
"2/1/2020","Faturado","hulk@siteware.com.br","Teclado Logitech","","","",""
"2/1/2020","Faturado","capitaoamerica@siteware.com.br","Mouse","","","",""
"2/1/2020","Cancelado","flash@siteware.com.br","Monitor Acer","","","",""
"2/1/2020","Faturado","aquaman@siteware.com.br","Iphone 12","","","",""
"2/1/2020","Faturado","thor@siteware.com.br","Samsung Galaxy S20","","","",""
"2/1/2020","Cancelado","ironman@siteware.com.br","Moto G8","","","",""
"2/1/2020","Cancelado","jeangrey@siteware.com.br","Xbox Series X","","","",""
"2/1/2020","Faturado","aquaman@siteware.com.br","Notebook Dell","","","",""
"2/1/2020","Faturado","capitaoamerica@siteware.com.br","Teclado Logitech","","","",""
"2/1/2020","Faturado","hulk@siteware.com.br","Mouse","","","",""
"2/1/2020","Cancelado","ironman@siteware.com.br","Monitor Acer","","","",""
"2/1/2020","Faturado","gamora@siteware.com.br","Iphone 12","","","",""
"2/1/2020","Faturado","estelar@siteware.com.br","Samsung Galaxy S20","","","",""
"2/1/2020","Faturado","ironman@siteware.com.br","Moto G8","","","",""
"2/1/2020","Cancelado","luffy@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"2/1/2020","Cancelado","batman@siteware.com.br","Xbox Series X","","","",""
"2/1/2020","Cancelado","jeangrey@siteware.com.br","PS5","","","",""
"4/1/2020","Faturado","gamora@siteware.com.br","Notebook Dell","","","",""
"4/1/2020","Faturado","estelar@siteware.com.br","Teclado Logitech","","","",""
"4/1/2020","Faturado","thor@siteware.com.br","Mouse","","","",""
"4/1/2020","Cancelado","luffy@siteware.com.br","Monitor Acer","","","",""
"4/1/2020","Faturado","capitaoamerica@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"4/1/2020","Faturado","thor@siteware.com.br","PS5","","","",""
"4/1/2020","Faturado","ironman@siteware.com.br","Nintendo Switch","","","",""
"4/1/2020","Cancelado","luffy@siteware.com.br","PS4","","","",""
"4/1/2020","Faturado","wandamaximoff@siteware.com.br","Notebook Dell","","","",""
"4/1/2020","Cancelado","estelar@siteware.com.br","Teclado Logitech","","","",""
"4/1/2020","Faturado","gamora@siteware.com.br","Mouse","","","",""
"4/1/2020","Cancelado","goku@siteware.com.br","Monitor Acer","","","",""
"4/1/2020","Faturado","thor@siteware.com.br","Samsung Galaxy S20","","","",""
"4/1/2020","Faturado","ironman@siteware.com.br","Moto G8","","","",""
"4/1/2020","Faturado","luffy@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"4/1/2020","Cancelado","jeangrey@siteware.com.br","Xbox Series X","","","",""
"4/1/2020","Faturado","homemAranha@siteware.com.br","PS5","","","",""
"3/1/2020","Faturado","jeangrey@siteware.com.br","Notebook Dell","","","",""
"3/1/2020","Faturado","caroldanvers@siteware.com.br","Teclado Logitech","","","",""
"3/1/2020","Faturado","wandamaximoff@siteware.com.br","Mouse","","","",""
"3/1/2020","Cancelado","estelar@siteware.com.br","Monitor Acer","","","",""
"3/1/2020","Cancelado","gamora@siteware.com.br","Iphone 12","","","",""
"3/1/2020","Cancelado","goku@siteware.com.br","Samsung Galaxy S20","","","",""
"3/1/2020","Cancelado","luffy@siteware.com.br","Moto G8","","","",""
"3/1/2020","Cancelado","thor@siteware.com.br","Xbox Series X","","","",""
"3/1/2020","Faturado","aquaman@siteware.com.br","PS5","","","",""
"3/1/2020","Faturado","capitaoamerica@siteware.com.br","PS4","","","",""
"3/1/2020","Faturado","hulk@siteware.com.br","Notebook Dell","","","",""
"3/1/2020","Faturado","homemAranha@siteware.com.br","Teclado Logitech","","","",""
"3/1/2020","Cancelado","batman@siteware.com.br","Monitor Acer","","","",""
"3/1/2020","Faturado","batmam@siteware.com.br","Iphone 12","","","",""
"3/1/2020","Faturado","jeangrey@siteware.com.br","Samsung Galaxy S20","","","",""
"3/1/2020","Faturado","jeangrey@siteware.com.br","Moto G8","","","",""
"3/1/2020","Faturado","batman@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"3/1/2020","Cancelado","flash@siteware.com.br","Xbox Series X","","","",""
"3/1/2020","Faturado","estelar@siteware.com.br","PS5","","","",""
"5/1/2020","Faturado","jeangrey@siteware.com.br","Notebook Dell","","","",""
"5/1/2020","Cancelado","caroldanvers@siteware.com.br","Monitor Acer","","","",""
"5/1/2020","Faturado","estelar@siteware.com.br","Samsung Galaxy S20","","","",""
"5/1/2020","Faturado","estelar@siteware.com.br","Moto G8","","","",""
"5/1/2020","Cancelado","gamora@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"5/1/2020","Cancelado","gamora@siteware.com.br","Xbox Series X","","","",""
"5/1/2020","Faturado","goku@siteware.com.br","PS5","","","",""
"5/1/2020","Faturado","goku@siteware.com.br","Nintendo Switch","","","",""
"5/1/2020","Faturado","luffy@siteware.com.br","PS4","","","",""
"5/1/2020","Faturado","ironman@siteware.com.br","Notebook Dell","","","",""
"5/1/2020","Cancelado","aquaman@siteware.com.br","Mouse","","","",""
"5/1/2020","Cancelado","flash@siteware.com.br","Monitor Acer","","","",""
"5/1/2020","Faturado","capitaoamerica@siteware.com.br","Iphone 12","","","",""
"5/1/2020","Cancelado","hulk@siteware.com.br","Samsung Galaxy S20","","","",""
"5/1/2020","Faturado","homemAranha@siteware.com.br","Moto G8","","","",""
"5/1/2020","Faturado","batman@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"5/1/2020","Cancelado","batman@siteware.com.br","Xbox Series X","","","",""
"6/1/2020","Faturado","batmam@siteware.com.br","Notebook Dell","","","",""
"6/1/2020","Faturado","batman@siteware.com.br","Teclado Logitech","","","",""
"6/1/2020","Faturado","homemAranha@siteware.com.br","Mouse","","","",""
"6/1/2020","Cancelado","homemAranha@siteware.com.br","Monitor Acer","","","",""
"6/1/2020","Faturado","hulk@siteware.com.br","Iphone 12","","","",""
"6/1/2020","Faturado","hulk@siteware.com.br","Samsung Galaxy S20","","","",""
"6/1/2020","Faturado","capitaoamerica@siteware.com.br","Moto G8","","","",""
"6/1/2020","Faturado","capitaoamerica@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"6/1/2020","Cancelado","jeangrey@siteware.com.br","Xbox Series X","","","",""
"6/1/2020","Cancelado","flash@siteware.com.br","PS5","","","",""
"6/1/2020","Faturado","aquaman@siteware.com.br","Nintendo Switch","","","",""
"6/1/2020","Faturado","aquaman@siteware.com.br","PS4","","","",""
"6/1/2020","Cancelado","thor@siteware.com.br","Notebook Dell","","","",""
"6/1/2020","Faturado","thor@siteware.com.br","Teclado Logitech","","","",""
"6/1/2020","Faturado","ironman@siteware.com.br","Mouse","","","",""
"6/1/2020","Cancelado","ironman@siteware.com.br","Monitor Acer","","","",""
"6/1/2020","Faturado","luffy@siteware.com.br","Iphone 12","","","",""
"6/1/2020","Faturado","goku@siteware.com.br","Samsung Galaxy S20","","","",""
"6/1/2020","Faturado","gamora@siteware.com.br","Moto G8","","","",""
"6/1/2020","Cancelado","estelar@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"6/1/2020","Cancelado","wandamaximoff@siteware.com.br","Xbox Series X","","","",""
"6/1/2020","Faturado","caroldanvers@siteware.com.br","PS5","","","",""
"7/1/2020","Faturado","goku@siteware.com.br","Notebook Dell","","","",""
"7/1/2020","Faturado","luffy@siteware.com.br","Teclado Logitech","","","",""
"7/1/2020","Faturado","ironman@siteware.com.br","Mouse","","","",""
"7/1/2020","Cancelado","thor@siteware.com.br","Monitor Acer","","","",""
"7/1/2020","Faturado","aquaman@siteware.com.br","Iphone 12","","","",""
"7/1/2020","Cancelado","homemAranha@siteware.com.br","Xbox Series X","","","",""
"7/1/2020","Faturado","batman@siteware.com.br","PS5","","","",""
"7/1/2020","Faturado","batman@siteware.com.br","Nintendo Switch","","","",""
"7/1/2020","Faturado","homemAranha@siteware.com.br","PS4","","","",""
"7/1/2020","Faturado","hulk@siteware.com.br","Notebook Dell","","","",""
"7/1/2020","Faturado","capitaoamerica@siteware.com.br","Teclado Logitech","","","",""
"7/1/2020","Faturado","flash@siteware.com.br","Mouse","","","",""
"7/1/2020","Cancelado","aquaman@siteware.com.br","Monitor Acer","","","",""
"7/1/2020","Faturado","thor@siteware.com.br","Iphone 12","","","",""
"7/1/2020","Faturado","ironman@siteware.com.br","Samsung Galaxy S20","","","",""
"7/1/2020","Faturado","luffy@siteware.com.br","Moto G8","","","",""
"7/1/2020","Faturado","goku@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"7/1/2020","Cancelado","goku@siteware.com.br","Xbox Series X","","","",""
"7/1/2020","Faturado","estelar@siteware.com.br","PS5","","","",""
"8/1/2020","Faturado","estelar@siteware.com.br","Notebook Dell","","","",""
"8/1/2020","Faturado","gamora@siteware.com.br","Teclado Logitech","","","",""
"8/1/2020","Faturado","goku@siteware.com.br","Mouse","","","",""
"8/1/2020","Cancelado","goku@siteware.com.br","Monitor Acer","","","",""
"8/1/2020","Faturado","gamora@siteware.com.br","Iphone 12","","","",""
"8/1/2020","Faturado","flash@siteware.com.br","Moto G8","","","",""
"8/1/2020","Faturado","thor@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"8/1/2020","Cancelado","ironman@siteware.com.br","Xbox Series X","","","",""
"8/1/2020","Faturado","luffy@siteware.com.br","PS5","","","",""
"8/1/2020","Faturado","goku@siteware.com.br","Nintendo Switch","","","",""
"8/1/2020","Cancelado","caroldanvers@siteware.com.br","PS4","","","",""
"8/1/2020","Cancelado","wandamaximoff@siteware.com.br","Notebook Dell","","","",""
"8/1/2020","Faturado","estelar@siteware.com.br","Teclado Logitech","","","",""
"8/1/2020","Faturado","gamora@siteware.com.br","Mouse","","","",""
"8/1/2020","Cancelado","goku@siteware.com.br","Monitor Acer","","","",""
"8/1/2020","Cancelado","goku@siteware.com.br","Iphone 12","","","",""
"8/1/2020","Faturado","batman@siteware.com.br","Samsung Galaxy S20","","","",""
"8/1/2020","Faturado","homemAranha@siteware.com.br","Moto G8","","","",""
"8/1/2020","Faturado","hulk@siteware.com.br","Xiaomi Redmi Note 7","","","",""
"8/1/2020","Cancelado","flash@siteware.com.br","Xbox Series X","","","",""
